timestamp during request triggered : 1773561010585	 Sensor ID : RL Postimestamp during request triggered : 1773561010592	 Sensor ID : RL Postimestamp during response triggered : 1773561010610	 Sensor ID : RL sensor
timestamp during response triggered : 1773561010635	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010641	 Sensor ID : RL Postimestamp during response triggered : 1773561010663	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010689	 Sensor ID : RL Postimestamp during response triggered : 1773561010712	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010740	 Sensor ID : RL Postimestamp during response triggered : 1773561010763	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010790	 Sensor ID : RL Postimestamp during response triggered : 1773561010813	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010840	 Sensor ID : RL Postimestamp during response triggered : 1773561010863	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010890	 Sensor ID : RL Postimestamp during response triggered : 1773561010913	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010940	 Sensor ID : RL Postimestamp during response triggered : 1773561010963	 Sensor ID : RL sensor
timestamp during request triggered : 1773561010990	 Sensor ID : RL Postimestamp during response triggered : 1773561011013	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011040	 Sensor ID : RL Postimestamp during response triggered : 1773561011063	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011090	 Sensor ID : RL Postimestamp during response triggered : 1773561011112	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011140	 Sensor ID : RL Postimestamp during response triggered : 1773561011163	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011190	 Sensor ID : RL Postimestamp during response triggered : 1773561011213	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011240	 Sensor ID : RL Postimestamp during response triggered : 1773561011263	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011290	 Sensor ID : RL Postimestamp during response triggered : 1773561011312	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011340	 Sensor ID : RL Postimestamp during response triggered : 1773561011362	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011390	 Sensor ID : RL Postimestamp during response triggered : 1773561011412	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011440	 Sensor ID : RL Postimestamp during response triggered : 1773561011462	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011490	 Sensor ID : RL Postimestamp during response triggered : 1773561011513	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011540	 Sensor ID : RL Postimestamp during response triggered : 1773561011562	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011590	 Sensor ID : RL Postimestamp during response triggered : 1773561011612	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011640	 Sensor ID : RL Postimestamp during response triggered : 1773561011662	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011690	 Sensor ID : RL Postimestamp during response triggered : 1773561011711	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011740	 Sensor ID : RL Postimestamp during response triggered : 1773561011761	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011790	 Sensor ID : RL Postimestamp during response triggered : 1773561011812	 Sensor ID : RL sensor
timestamp during request triggered : 1773561011840	 Sensor ID : RL Postimestamp during response triggered : 1773561011861	 Sensor ID : RL sensor
